"","Provincia","Año_Trimestre","Transacciones"
"1243","Balears (Illes)"," 2007_3º","4802"
"1244","Balears (Illes)"," 2007_4º","4858"
"1245","Balears (Illes)"," 2008_1º","3376"
"1246","Balears (Illes)"," 2008_2º","3695"
"1247","Balears (Illes)"," 2008_3º","2793"
"1248","Balears (Illes)"," 2008_4º","2498"
"1249","Canarias"," 2009_1º","4298"
"1250","Canarias"," 2009_2º","4750"
"1251","Canarias"," 2009_3º","4091"
"1252","Canarias"," 2009_4º","5042"
"1253","Canarias"," 2010_1º","4255"
"1254","Canarias"," 2010_2º","4795"
"1255","Canarias"," 2010_3º","4216"
"1256","Canarias"," 2010_4º","6287"
"1257","Canarias"," 2011_1º","3476"
"1258","Canarias"," 2011_2º","3855"
"1259","Canarias"," 2011_3º","3074"
"1260","Canarias"," 2011_4º","3877"
"1261","Canarias"," 2012_1º","3719"
"1262","Canarias"," 2012_2º","3948"
"1263","Canarias"," 2012_3º","3006"
"1264","Canarias"," 2012_4º","4614"
"1265","Canarias"," 2013_1º","3176"
"1266","Canarias"," 2013_2º","4397"
"1267","Canarias"," 2013_3º","3196"
"1268","Canarias"," 2013_4º","4711"
"1269","Canarias"," 2014_1º","4486"
"1270","Canarias"," 2014_2º","4495"
"1271","Canarias"," 2014_3º","3778"
"1272","Canarias"," 2014_4º","5156"
"1273","Canarias"," 2015_1º","4433"
"1274","Canarias"," 2015_2º","5021"
"1275","Canarias"," 2015_3º","4854"
"1276","Canarias"," 2015_4º","5538"
"1277","Canarias"," 2016_1º","5535"
"1278","Canarias"," 2016_2º","6018"
"1279","Canarias"," 2016_3º","4935"
"1280","Canarias"," 2016_4º","5795"
"1281","Canarias"," 2017_1º","6320"
"1282","Canarias"," 2017_2º","7148"
"1283","Canarias"," 2017_3º","5936"
"1284","Canarias"," 2017_4º","6464"
"1285","Canarias"," 2018_1º","6484"
"1286","Canarias"," 2018_2º","7093"
"1287","Canarias"," 2018_3º","5709"
"1288","Canarias"," 2018_4º","5983"
"1289","Canarias"," 2019_1º","6105"
"1290","Canarias"," 2019_2º","6166"
"1291","Canarias"," 2019_3º","5134"
"1292","Canarias"," 2019_4º","7225"
"1293","Canarias"," 2020_1º","4843"
"1294","Canarias"," 2020_2º","2352"
"1295","Canarias"," 2020_3º","4636"
"1296","Canarias"," 2020_4º","5245"
"1297","Canarias"," 2021_1º","5204"
"1298","Canarias"," 2021_2º","6116"
"1299","Canarias"," 2021_3º","6002"
"1300","Canarias"," 2021_4º","7198"
"1301","Canarias"," 2022_1º","7693"
"1302","Canarias"," 2022_2º","8995"
"1303","Canarias"," 2022_3º","7553"
"1304","Canarias"," 2022_4º","6884"
"1305","Canarias"," 2023_1º","6940"
"1306","Canarias"," 2023_2 (**)","7200"
"1307","Canarias"," 2004_1º","9163"
"1308","Canarias"," 2004_2º","10912"
"1309","Canarias"," 2004_3º","9452"
"1310","Canarias"," 2004_4º","11545"
"1311","Canarias"," 2005_1º","9526"
"1312","Canarias"," 2005_2º","10678"
"1313","Canarias"," 2005_3º","9421"
"1314","Canarias"," 2005_4º","11842"
"1315","Canarias"," 2006_1º","11175"
"1316","Canarias"," 2006_2º","11610"
"1317","Canarias"," 2006_3º","10386"
"1318","Canarias"," 2006_4º","11252"
"1319","Canarias"," 2007_1º","10746"
"1320","Canarias"," 2007_2º","11340"
"1321","Canarias"," 2007_3º","8866"
"1322","Canarias"," 2007_4º","8922"
"1323","Canarias"," 2008_1º","7475"
"1324","Canarias"," 2008_2º","6502"
"1325","Canarias"," 2008_3º","5550"
"1326","Canarias"," 2008_4º","5987"
"1327","Palmas (Las)"," 2009_1º","2353"
"1328","Palmas (Las)"," 2009_2º","2562"
"1329","Palmas (Las)"," 2009_3º","2088"
"1330","Palmas (Las)"," 2009_4º","2577"
"1331","Palmas (Las)"," 2010_1º","2039"
"1332","Palmas (Las)"," 2010_2º","2442"
"1333","Palmas (Las)"," 2010_3º","2271"
"1334","Palmas (Las)"," 2010_4º","3252"
"1335","Palmas (Las)"," 2011_1º","1753"
"1336","Palmas (Las)"," 2011_2º","1891"
"1337","Palmas (Las)"," 2011_3º","1631"
"1338","Palmas (Las)"," 2011_4º","1952"
"1339","Palmas (Las)"," 2012_1º","1952"
"1340","Palmas (Las)"," 2012_2º","2032"
"1341","Palmas (Las)"," 2012_3º","1606"
"1342","Palmas (Las)"," 2012_4º","2452"
"1343","Palmas (Las)"," 2013_1º","1573"
"1344","Palmas (Las)"," 2013_2º","2284"
"1345","Palmas (Las)"," 2013_3º","1651"
"1346","Palmas (Las)"," 2013_4º","2566"
"1347","Palmas (Las)"," 2014_1º","2178"
"1348","Palmas (Las)"," 2014_2º","2206"
"1349","Palmas (Las)"," 2014_3º","2017"
"1350","Palmas (Las)"," 2014_4º","2790"
"1351","Palmas (Las)"," 2015_1º","2378"
"1352","Palmas (Las)"," 2015_2º","2741"
"1353","Palmas (Las)"," 2015_3º","2668"
"1354","Palmas (Las)"," 2015_4º","2958"
"1355","Palmas (Las)"," 2016_1º","3133"
"1356","Palmas (Las)"," 2016_2º","3135"
"1357","Palmas (Las)"," 2016_3º","2666"
"1358","Palmas (Las)"," 2016_4º","3044"
"1359","Palmas (Las)"," 2017_1º","3179"
"1360","Palmas (Las)"," 2017_2º","3700"
"1361","Palmas (Las)"," 2017_3º","3242"
"1362","Palmas (Las)"," 2017_4º","3386"
"1363","Palmas (Las)"," 2018_1º","3370"
"1364","Palmas (Las)"," 2018_2º","3709"
"1365","Palmas (Las)"," 2018_3º","2902"
"1366","Palmas (Las)"," 2018_4º","3159"
"1367","Palmas (Las)"," 2019_1º","2988"
"1368","Palmas (Las)"," 2019_2º","3314"
"1369","Palmas (Las)"," 2019_3º","2690"
"1370","Palmas (Las)"," 2019_4º","3891"
"1371","Palmas (Las)"," 2020_1º","2488"
"1372","Palmas (Las)"," 2020_2º","1316"
"1373","Palmas (Las)"," 2020_3º","2450"
"1374","Palmas (Las)"," 2020_4º","2815"
"1375","Palmas (Las)"," 2021_1º","2832"
"1376","Palmas (Las)"," 2021_2º","3204"
"1377","Palmas (Las)"," 2021_3º","3160"
"1378","Palmas (Las)"," 2021_4º","3674"
"1379","Palmas (Las)"," 2022_1º","4300"
"1380","Palmas (Las)"," 2022_2º","4448"
"1381","Palmas (Las)"," 2022_3º","4044"
"1382","Palmas (Las)"," 2022_4º","3681"
"1383","Palmas (Las)"," 2023_1º","3770"
"1384","Palmas (Las)"," 2023_2 (**)","3696"
"1385","Palmas (Las)"," 2004_1º","4458"
"1386","Palmas (Las)"," 2004_2º","5199"
"1387","Palmas (Las)"," 2004_3º","4875"
"1388","Palmas (Las)"," 2004_4º","5949"
"1389","Palmas (Las)"," 2005_1º","4673"
"1390","Palmas (Las)"," 2005_2º","5606"
"1391","Palmas (Las)"," 2005_3º","4852"
"1392","Palmas (Las)"," 2005_4º","6232"
"1393","Palmas (Las)"," 2006_1º","5496"
"1394","Palmas (Las)"," 2006_2º","5923"
"1395","Palmas (Las)"," 2006_3º","5049"
"1396","Palmas (Las)"," 2006_4º","5465"
"1397","Palmas (Las)"," 2007_1º","5740"
"1398","Palmas (Las)"," 2007_2º","5877"
"1399","Palmas (Las)"," 2007_3º","4788"
"1400","Palmas (Las)"," 2007_4º","5120"
"1401","Palmas (Las)"," 2008_1º","4217"
"1402","Palmas (Las)"," 2008_2º","3476"
"1403","Palmas (Las)"," 2008_3º","2627"
"1404","Palmas (Las)"," 2008_4º","3412"
"1405","Santa Cruz de Tenerife"," 2009_1º","1945"
"1406","Santa Cruz de Tenerife"," 2009_2º","2188"
"1407","Santa Cruz de Tenerife"," 2009_3º","2003"
"1408","Santa Cruz de Tenerife"," 2009_4º","2465"
"1409","Santa Cruz de Tenerife"," 2010_1º","2216"
"1410","Santa Cruz de Tenerife"," 2010_2º","2353"
"1411","Santa Cruz de Tenerife"," 2010_3º","1945"
"1412","Santa Cruz de Tenerife"," 2010_4º","3035"
"1413","Santa Cruz de Tenerife"," 2011_1º","1723"
"1414","Santa Cruz de Tenerife"," 2011_2º","1964"
"1415","Santa Cruz de Tenerife"," 2011_3º","1443"
"1416","Santa Cruz de Tenerife"," 2011_4º","1925"
"1417","Santa Cruz de Tenerife"," 2012_1º","1767"
"1418","Santa Cruz de Tenerife"," 2012_2º","1916"
"1419","Santa Cruz de Tenerife"," 2012_3º","1400"
"1420","Santa Cruz de Tenerife"," 2012_4º","2162"
"1421","Santa Cruz de Tenerife"," 2013_1º","1603"
"1422","Santa Cruz de Tenerife"," 2013_2º","2113"
"1423","Santa Cruz de Tenerife"," 2013_3º","1545"
"1424","Santa Cruz de Tenerife"," 2013_4º","2145"
"1425","Santa Cruz de Tenerife"," 2014_1º","2308"
"1426","Santa Cruz de Tenerife"," 2014_2º","2289"
"1427","Santa Cruz de Tenerife"," 2014_3º","1761"
"1428","Santa Cruz de Tenerife"," 2014_4º","2366"
"1429","Santa Cruz de Tenerife"," 2015_1º","2055"
"1430","Santa Cruz de Tenerife"," 2015_2º","2280"
"1431","Santa Cruz de Tenerife"," 2015_3º","2186"
"1432","Santa Cruz de Tenerife"," 2015_4º","2580"
"1433","Santa Cruz de Tenerife"," 2016_1º","2402"
"1434","Santa Cruz de Tenerife"," 2016_2º","2883"
"1435","Santa Cruz de Tenerife"," 2016_3º","2269"
"1436","Santa Cruz de Tenerife"," 2016_4º","2751"
"1437","Santa Cruz de Tenerife"," 2017_1º","3141"
"1438","Santa Cruz de Tenerife"," 2017_2º","3448"
"1439","Santa Cruz de Tenerife"," 2017_3º","2694"
"1440","Santa Cruz de Tenerife"," 2017_4º","3078"
"1441","Santa Cruz de Tenerife"," 2018_1º","3114"
"1442","Santa Cruz de Tenerife"," 2018_2º","3384"
"1443","Santa Cruz de Tenerife"," 2018_3º","2807"
"1444","Santa Cruz de Tenerife"," 2018_4º","2824"
"1445","Santa Cruz de Tenerife"," 2019_1º","3117"
"1446","Santa Cruz de Tenerife"," 2019_2º","2852"
"1447","Santa Cruz de Tenerife"," 2019_3º","2444"
"1448","Santa Cruz de Tenerife"," 2019_4º","3334"
"1449","Santa Cruz de Tenerife"," 2020_1º","2355"
"1450","Santa Cruz de Tenerife"," 2020_2º","1036"
"1451","Santa Cruz de Tenerife"," 2020_3º","2186"
"1452","Santa Cruz de Tenerife"," 2020_4º","2430"
"1453","Santa Cruz de Tenerife"," 2021_1º","2372"
"1454","Santa Cruz de Tenerife"," 2021_2º","2912"
"1455","Santa Cruz de Tenerife"," 2021_3º","2842"
"1456","Santa Cruz de Tenerife"," 2021_4º","3524"
"1457","Santa Cruz de Tenerife"," 2022_1º","3393"
"1458","Santa Cruz de Tenerife"," 2022_2º","4547"
"1459","Santa Cruz de Tenerife"," 2022_3º","3509"
"1460","Santa Cruz de Tenerife"," 2022_4º","3203"
"1461","Santa Cruz de Tenerife"," 2023_1º","3170"
"1462","Santa Cruz de Tenerife"," 2023_2 (**)","3504"
"1463","Santa Cruz de Tenerife"," 2004_1º","4705"
"1464","Santa Cruz de Tenerife"," 2004_2º","5713"
"1465","Santa Cruz de Tenerife"," 2004_3º","4577"
"1466","Santa Cruz de Tenerife"," 2004_4º","5596"
"1467","Santa Cruz de Tenerife"," 2005_1º","4853"
"1468","Santa Cruz de Tenerife"," 2005_2º","5072"
"1469","Santa Cruz de Tenerife"," 2005_3º","4569"
"1470","Santa Cruz de Tenerife"," 2005_4º","5610"
"1471","Santa Cruz de Tenerife"," 2006_1º","5679"
"1472","Santa Cruz de Tenerife"," 2006_2º","5687"
"1473","Santa Cruz de Tenerife"," 2006_3º","5337"
"1474","Santa Cruz de Tenerife"," 2006_4º","5787"
"1475","Santa Cruz de Tenerife"," 2007_1º","5006"
"1476","Santa Cruz de Tenerife"," 2007_2º","5463"
"1477","Santa Cruz de Tenerife"," 2007_3º","4078"
"1478","Santa Cruz de Tenerife"," 2007_4º","3802"
"1479","Santa Cruz de Tenerife"," 2008_1º","3258"
"1480","Santa Cruz de Tenerife"," 2008_2º","3026"
"1481","Santa Cruz de Tenerife"," 2008_3º","2923"
"1482","Santa Cruz de Tenerife"," 2008_4º","2575"
"1483","Cantabria"," 2009_1º","1921"
"1484","Cantabria"," 2009_2º","2413"
"1485","Cantabria"," 2009_3º","2201"
"1486","Cantabria"," 2009_4º","2317"
"1487","Cantabria"," 2010_1º","1842"
"1488","Cantabria"," 2010_2º","2995"
"1489","Cantabria"," 2010_3º","1185"
"1490","Cantabria"," 2010_4º","2373"
"1491","Cantabria"," 2011_1º","1164"
"1492","Cantabria"," 2011_2º","1596"
"1493","Cantabria"," 2011_3º","1231"
"1494","Cantabria"," 2011_4º","1603"
"1495","Cantabria"," 2012_1º","763"
"1496","Cantabria"," 2012_2º","1048"
"1497","Cantabria"," 2012_3º","1198"
"1498","Cantabria"," 2012_4º","1708"
"1499","Cantabria"," 2013_1º","483"
"1500","Cantabria"," 2013_2º","821"
"1501","Cantabria"," 2013_3º","754"
"1502","Cantabria"," 2013_4º","1075"
"1503","Cantabria"," 2014_1º","854"
"1504","Cantabria"," 2014_2º","954"
"1505","Cantabria"," 2014_3º","943"
"1506","Cantabria"," 2014_4º","1249"
"1507","Cantabria"," 2015_1º","917"
"1508","Cantabria"," 2015_2º","1216"
"1509","Cantabria"," 2015_3º","1229"
"1510","Cantabria"," 2015_4º","1298"
"1511","Cantabria"," 2016_1º","1050"
"1512","Cantabria"," 2016_2º","1419"
"1513","Cantabria"," 2016_3º","1237"
"1514","Cantabria"," 2016_4º","1544"
"1515","Cantabria"," 2017_1º","1306"
"1516","Cantabria"," 2017_2º","1688"
"1517","Cantabria"," 2017_3º","1533"
"1518","Cantabria"," 2017_4º","2111"
"1519","Cantabria"," 2018_1º","1397"
"1520","Cantabria"," 2018_2º","1920"
"1521","Cantabria"," 2018_3º","1782"
"1522","Cantabria"," 2018_4º","1973"
"1523","Cantabria"," 2019_1º","1626"
"1524","Cantabria"," 2019_2º","1899"
"1525","Cantabria"," 2019_3º","1675"
"1526","Cantabria"," 2019_4º","2050"
"1527","Cantabria"," 2020_1º","1519"
"1528","Cantabria"," 2020_2º","1073"
"1529","Cantabria"," 2020_3º","2003"
"1530","Cantabria"," 2020_4º","2302"
"1531","Cantabria"," 2021_1º","1794"
"1532","Cantabria"," 2021_2º","2475"
"1533","Cantabria"," 2021_3º","2708"
"1534","Cantabria"," 2021_4º","2703"
"1535","Cantabria"," 2022_1º","2205"
"1536","Cantabria"," 2022_2º","2735"
"1537","Cantabria"," 2022_3º","2192"
"1538","Cantabria"," 2022_4º","2277"
"1539","Cantabria"," 2023_1º","1908"
"1540","Cantabria"," 2023_2 (**)","2249"
"1541","Cantabria"," 2004_1º","2802"
"1542","Cantabria"," 2004_2º","3385"
"1543","Cantabria"," 2004_3º","3452"
"1544","Cantabria"," 2004_4º","3690"
"1545","Cantabria"," 2005_1º","3457"
"1546","Cantabria"," 2005_2º","4356"
"1547","Cantabria"," 2005_3º","3692"
"1548","Cantabria"," 2005_4º","3989"
"1549","Cantabria"," 2006_1º","3303"
"1550","Cantabria"," 2006_2º","4104"
"1551","Cantabria"," 2006_3º","3351"
"1552","Cantabria"," 2006_4º","3898"
"1553","Cantabria"," 2007_1º","3374"
"1554","Cantabria"," 2007_2º","3804"
"1555","Cantabria"," 2007_3º","3106"
"1556","Cantabria"," 2007_4º","3177"
"1557","Cantabria"," 2008_1º","2739"
"1558","Cantabria"," 2008_2º","2871"
"1559","Cantabria"," 2008_3º","2222"
"1560","Cantabria"," 2008_4º","2047"
"1561","Castilla y León"," 2009_1º","5869"
"1562","Castilla y León"," 2009_2º","6870"
"1563","Castilla y León"," 2009_3º","6505"
"1564","Castilla y León"," 2009_4º","7733"
"1565","Castilla y León"," 2010_1º","6978"
"1566","Castilla y León"," 2010_2º","9105"
"1567","Castilla y León"," 2010_3º","4715"
"1568","Castilla y León"," 2010_4º","9609"
"1569","Castilla y León"," 2011_1º","3887"
"1570","Castilla y León"," 2011_2º","4780"
"1571","Castilla y León"," 2011_3º","4643"
"1572","Castilla y León"," 2011_4º","6075"
"1573","Castilla y León"," 2012_1º","3676"
"1574","Castilla y León"," 2012_2º","4225"
"1575","Castilla y León"," 2012_3º","4207"
"1576","Castilla y León"," 2012_4º","7563"
"1577","Castilla y León"," 2013_1º","2246"
"1578","Castilla y León"," 2013_2º","3557"
"1579","Castilla y León"," 2013_3º","3422"
"1580","Castilla y León"," 2013_4º","4504"
"1581","Castilla y León"," 2014_1º","3726"
"1582","Castilla y León"," 2014_2º","4181"
"1583","Castilla y León"," 2014_3º","3995"
"1584","Castilla y León"," 2014_4º","5503"
"1585","Castilla y León"," 2015_1º","3867"
"1586","Castilla y León"," 2015_2º","4918"
"1587","Castilla y León"," 2015_3º","4347"
"1588","Castilla y León"," 2015_4º","5174"
"1589","Castilla y León"," 2016_1º","4565"
"1590","Castilla y León"," 2016_2º","5329"
"1591","Castilla y León"," 2016_3º","4759"
"1592","Castilla y León"," 2016_4º","5856"
"1593","Castilla y León"," 2017_1º","5485"
"1594","Castilla y León"," 2017_2º","5793"
"1595","Castilla y León"," 2017_3º","5235"
"1596","Castilla y León"," 2017_4º","6377"
"1597","Castilla y León"," 2018_1º","5946"
"1598","Castilla y León"," 2018_2º","6911"
"1599","Castilla y León"," 2018_3º","6217"
"1600","Castilla y León"," 2018_4º","6883"
"1601","Castilla y León"," 2019_1º","6356"
"1602","Castilla y León"," 2019_2º","6745"
"1603","Castilla y León"," 2019_3º","5905"
"1604","Castilla y León"," 2019_4º","6846"
"1605","Castilla y León"," 2020_1º","5306"
"1606","Castilla y León"," 2020_2º","3373"
"1607","Castilla y León"," 2020_3º","7404"
"1608","Castilla y León"," 2020_4º","7981"
"1609","Castilla y León"," 2021_1º","6895"
"1610","Castilla y León"," 2021_2º","8445"
"1611","Castilla y León"," 2021_3º","8188"
"1612","Castilla y León"," 2021_4º","9326"
"1613","Castilla y León"," 2022_1º","8299"
"1614","Castilla y León"," 2022_2º","9210"
"1615","Castilla y León"," 2022_3º","8419"
"1616","Castilla y León"," 2022_4º","8568"
"1617","Castilla y León"," 2023_1º","7618"
"1618","Castilla y León"," 2023_2 (**)","8401"
"1619","Castilla y León"," 2004_1º","8586"
"1620","Castilla y León"," 2004_2º","10363"
"1621","Castilla y León"," 2004_3º","10467"
"1622","Castilla y León"," 2004_4º","11412"
"1623","Castilla y León"," 2005_1º","9524"
"1624","Castilla y León"," 2005_2º","11296"
"1625","Castilla y León"," 2005_3º","11028"
"1626","Castilla y León"," 2005_4º","12464"
"1627","Castilla y León"," 2006_1º","12268"
"1628","Castilla y León"," 2006_2º","13071"
"1629","Castilla y León"," 2006_3º","12278"
"1630","Castilla y León"," 2006_4º","14035"
"1631","Castilla y León"," 2007_1º","13224"
"1632","Castilla y León"," 2007_2º","12582"
"1633","Castilla y León"," 2007_3º","11452"
"1634","Castilla y León"," 2007_4º","11377"
"1635","Castilla y León"," 2008_1º","9817"
"1636","Castilla y León"," 2008_2º","8418"
"1637","Castilla y León"," 2008_3º","7732"
"1638","Castilla y León"," 2008_4º","7213"
"1639","Ávila"," 2009_1º","494"
"1640","Ávila"," 2009_2º","626"
"1641","Ávila"," 2009_3º","621"
"1642","Ávila"," 2009_4º","596"
"1643","Ávila"," 2010_1º","604"
"1644","Ávila"," 2010_2º","763"
"1645","Ávila"," 2010_3º","307"
"1646","Ávila"," 2010_4º","673"
"1647","Ávila"," 2011_1º","331"
"1648","Ávila"," 2011_2º","398"
"1649","Ávila"," 2011_3º","311"
"1650","Ávila"," 2011_4º","444"
"1651","Ávila"," 2012_1º","297"
"1652","Ávila"," 2012_2º","325"
"1653","Ávila"," 2012_3º","317"
"1654","Ávila"," 2012_4º","591"
"1655","Ávila"," 2013_1º","181"
"1656","Ávila"," 2013_2º","276"
"1657","Ávila"," 2013_3º","303"
"1658","Ávila"," 2013_4º","349"
"1659","Ávila"," 2014_1º","321"
"1660","Ávila"," 2014_2º","330"
"1661","Ávila"," 2014_3º","294"
"1662","Ávila"," 2014_4º","460"
"1663","Ávila"," 2015_1º","265"
"1664","Ávila"," 2015_2º","343"
"1665","Ávila"," 2015_3º","324"
"1666","Ávila"," 2015_4º","403"
"1667","Ávila"," 2016_1º","343"
"1668","Ávila"," 2016_2º","370"
"1669","Ávila"," 2016_3º","361"
"1670","Ávila"," 2016_4º","409"
"1671","Ávila"," 2017_1º","362"
"1672","Ávila"," 2017_2º","462"
"1673","Ávila"," 2017_3º","458"
"1674","Ávila"," 2017_4º","500"
"1675","Ávila"," 2018_1º","453"
"1676","Ávila"," 2018_2º","546"
"1677","Ávila"," 2018_3º","533"
"1678","Ávila"," 2018_4º","603"
"1679","Ávila"," 2019_1º","511"
"1680","Ávila"," 2019_2º","579"
"1681","Ávila"," 2019_3º","612"
"1682","Ávila"," 2019_4º","603"
"1683","Ávila"," 2020_1º","439"
"1684","Ávila"," 2020_2º","239"
"1685","Ávila"," 2020_3º","642"
"1686","Ávila"," 2020_4º","661"
"1687","Ávila"," 2021_1º","539"
"1688","Ávila"," 2021_2º","748"
"1689","Ávila"," 2021_3º","730"
"1690","Ávila"," 2021_4º","841"
"1691","Ávila"," 2022_1º","737"
"1692","Ávila"," 2022_2º","808"
"1693","Ávila"," 2022_3º","866"
"1694","Ávila"," 2022_4º","786"
"1695","Ávila"," 2023_1º","679"
"1696","Ávila"," 2023_2 (**)","735"
"1697","Ávila"," 2004_1º","542"
"1698","Ávila"," 2004_2º","708"
"1699","Ávila"," 2004_3º","623"
"1700","Ávila"," 2004_4º","772"
"1701","Ávila"," 2005_1º","618"
"1702","Ávila"," 2005_2º","913"
"1703","Ávila"," 2005_3º","776"
"1704","Ávila"," 2005_4º","910"
"1705","Ávila"," 2006_1º","914"
"1706","Ávila"," 2006_2º","1036"
"1707","Ávila"," 2006_3º","1186"
"1708","Ávila"," 2006_4º","1452"
"1709","Ávila"," 2007_1º","1182"
"1710","Ávila"," 2007_2º","1036"
"1711","Ávila"," 2007_3º","1018"
"1712","Ávila"," 2007_4º","911"
"1713","Ávila"," 2008_1º","832"
"1714","Ávila"," 2008_2º","971"
"1715","Ávila"," 2008_3º","736"
"1716","Ávila"," 2008_4º","817"
"1717","Burgos"," 2009_1º","1074"
"1718","Burgos"," 2009_2º","1230"
"1719","Burgos"," 2009_3º","996"
"1720","Burgos"," 2009_4º","1139"
"1721","Burgos"," 2010_1º","1041"
"1722","Burgos"," 2010_2º","1302"
"1723","Burgos"," 2010_3º","732"
"1724","Burgos"," 2010_4º","1560"
"1725","Burgos"," 2011_1º","494"
"1726","Burgos"," 2011_2º","797"
"1727","Burgos"," 2011_3º","876"
"1728","Burgos"," 2011_4º","908"
"1729","Burgos"," 2012_1º","558"
"1730","Burgos"," 2012_2º","698"
"1731","Burgos"," 2012_3º","745"
"1732","Burgos"," 2012_4º","1143"
"1733","Burgos"," 2013_1º","348"
"1734","Burgos"," 2013_2º","525"
"1735","Burgos"," 2013_3º","593"
"1736","Burgos"," 2013_4º","639"
"1737","Burgos"," 2014_1º","614"
"1738","Burgos"," 2014_2º","822"
"1739","Burgos"," 2014_3º","716"
"1740","Burgos"," 2014_4º","930"
"1741","Burgos"," 2015_1º","678"
"1742","Burgos"," 2015_2º","888"
"1743","Burgos"," 2015_3º","769"
"1744","Burgos"," 2015_4º","1022"
"1745","Burgos"," 2016_1º","794"
"1746","Burgos"," 2016_2º","898"
"1747","Burgos"," 2016_3º","717"
"1748","Burgos"," 2016_4º","1042"
"1749","Burgos"," 2017_1º","951"
"1750","Burgos"," 2017_2º","947"
"1751","Burgos"," 2017_3º","908"
"1752","Burgos"," 2017_4º","1082"
"1753","Burgos"," 2018_1º","957"
"1754","Burgos"," 2018_2º","1261"
"1755","Burgos"," 2018_3º","1064"
"1756","Burgos"," 2018_4º","1118"
"1757","Burgos"," 2019_1º","1156"
"1758","Burgos"," 2019_2º","1138"
"1759","Burgos"," 2019_3º","926"
"1760","Burgos"," 2019_4º","1162"
"1761","Burgos"," 2020_1º","869"
"1762","Burgos"," 2020_2º","621"
"1763","Burgos"," 2020_3º","1246"
"1764","Burgos"," 2020_4º","1444"
"1765","Burgos"," 2021_1º","1238"
"1766","Burgos"," 2021_2º","1559"
"1767","Burgos"," 2021_3º","1329"
"1768","Burgos"," 2021_4º","1598"
"1769","Burgos"," 2022_1º","1443"
"1770","Burgos"," 2022_2º","1626"
"1771","Burgos"," 2022_3º","1539"
"1772","Burgos"," 2022_4º","1436"
"1773","Burgos"," 2023_1º","1234"
"1774","Burgos"," 2023_2 (**)","1544"
"1775","Burgos"," 2004_1º","939"
"1776","Burgos"," 2004_2º","1640"
"1777","Burgos"," 2004_3º","1685"
"1778","Burgos"," 2004_4º","1611"
"1779","Burgos"," 2005_1º","1390"
"1780","Burgos"," 2005_2º","1576"
"1781","Burgos"," 2005_3º","1501"
"1782","Burgos"," 2005_4º","2048"
"1783","Burgos"," 2006_1º","1959"
"1784","Burgos"," 2006_2º","1945"
"1785","Burgos"," 2006_3º","2049"
"1786","Burgos"," 2006_4º","2308"
"1787","Burgos"," 2007_1º","2434"
"1788","Burgos"," 2007_2º","2177"
"1789","Burgos"," 2007_3º","1958"
"1790","Burgos"," 2007_4º","1670"
"1791","Burgos"," 2008_1º","1268"
"1792","Burgos"," 2008_2º","1265"
"1793","Burgos"," 2008_3º","1462"
"1794","Burgos"," 2008_4º","1077"
"1795","León"," 2009_1º","972"
"1796","León"," 2009_2º","1119"
"1797","León"," 2009_3º","1107"
"1798","León"," 2009_4º","1357"
"1799","León"," 2010_1º","1202"
"1800","León"," 2010_2º","1743"
"1801","León"," 2010_3º","887"
"1802","León"," 2010_4º","1745"
"1803","León"," 2011_1º","694"
"1804","León"," 2011_2º","868"
"1805","León"," 2011_3º","861"
"1806","León"," 2011_4º","1128"
"1807","León"," 2012_1º","608"
"1808","León"," 2012_2º","657"
"1809","León"," 2012_3º","734"
"1810","León"," 2012_4º","1436"
"1811","León"," 2013_1º","404"
"1812","León"," 2013_2º","561"
"1813","León"," 2013_3º","570"
"1814","León"," 2013_4º","782"
"1815","León"," 2014_1º","648"
"1816","León"," 2014_2º","665"
"1817","León"," 2014_3º","628"
"1818","León"," 2014_4º","797"
"1819","León"," 2015_1º","670"
"1820","León"," 2015_2º","794"
"1821","León"," 2015_3º","720"
"1822","León"," 2015_4º","799"
"1823","León"," 2016_1º","696"
"1824","León"," 2016_2º","852"
"1825","León"," 2016_3º","878"
"1826","León"," 2016_4º","901"
"1827","León"," 2017_1º","868"
"1828","León"," 2017_2º","878"
"1829","León"," 2017_3º","805"
"1830","León"," 2017_4º","958"
"1831","León"," 2018_1º","879"
"1832","León"," 2018_2º","1041"
"1833","León"," 2018_3º","1048"
"1834","León"," 2018_4º","999"
"1835","León"," 2019_1º","984"
"1836","León"," 2019_2º","1083"
"1837","León"," 2019_3º","942"
"1838","León"," 2019_4º","1169"
"1839","León"," 2020_1º","836"
"1840","León"," 2020_2º","548"
"1841","León"," 2020_3º","1165"
"1842","León"," 2020_4º","1244"
"1843","León"," 2021_1º","1064"
"1844","León"," 2021_2º","1363"
"1845","León"," 2021_3º","1372"
"1846","León"," 2021_4º","1461"
"1847","León"," 2022_1º","1334"
"1848","León"," 2022_2º","1599"
"1849","León"," 2022_3º","1400"
"1850","León"," 2022_4º","1367"
"1851","León"," 2023_1º","1257"
"1852","León"," 2023_2 (**)","1320"
"1853","León"," 2004_1º","1386"
"1854","León"," 2004_2º","1743"
"1855","León"," 2004_3º","1778"
"1856","León"," 2004_4º","1985"
"1857","León"," 2005_1º","1563"
"1858","León"," 2005_2º","1680"
"1859","León"," 2005_3º","2096"
"1860","León"," 2005_4º","2273"
"1861","León"," 2006_1º","2102"
"1862","León"," 2006_2º","2134"
