"","Provincia","Año_Trimestre","Transacciones"
"110","Andalucía"," 2016_4º","22516"
"111","Andalucía"," 2017_1º","22241"
"112","Andalucía"," 2017_2º","26292"
"113","Andalucía"," 2017_3º","21660"
"114","Andalucía"," 2017_4º","26247"
"115","Andalucía"," 2018_1º","25351"
"116","Andalucía"," 2018_2º","31273"
"117","Andalucía"," 2018_3º","25347"
"118","Andalucía"," 2018_4º","28454"
"119","Andalucía"," 2019_1º","26701"
"120","Andalucía"," 2019_2º","28752"
"121","Andalucía"," 2019_3º","23781"
"122","Andalucía"," 2019_4º","30041"
"123","Andalucía"," 2020_1º","22461"
"124","Andalucía"," 2020_2º","15435"
"125","Andalucía"," 2020_3º","25418"
"126","Andalucía"," 2020_4º","30225"
"127","Andalucía"," 2021_1º","27009"
"128","Andalucía"," 2021_2º","35641"
"129","Andalucía"," 2021_3º","32231"
"130","Andalucía"," 2021_4º","39376"
"131","Andalucía"," 2022_1º","34585"
"132","Andalucía"," 2022_2º","39821"
"133","Andalucía"," 2022_3º","33697"
"134","Andalucía"," 2022_4º","34029"
"135","Andalucía"," 2023_1º","31247"
"136","Andalucía"," 2023_2 (**)","34027"
"137","Andalucía"," 2004_1º","34597"
"138","Andalucía"," 2004_2º","40321"
"139","Andalucía"," 2004_3º","33921"
"140","Andalucía"," 2004_4º","38726"
"141","Andalucía"," 2005_1º","33304"
"142","Andalucía"," 2005_2º","40656"
"143","Andalucía"," 2005_3º","36797"
"144","Andalucía"," 2005_4º","41718"
"145","Andalucía"," 2006_1º","38813"
"146","Andalucía"," 2006_2º","44325"
"147","Andalucía"," 2006_3º","41390"
"148","Andalucía"," 2006_4º","43529"
"149","Andalucía"," 2007_1º","47449"
"150","Andalucía"," 2007_2º","45928"
"151","Andalucía"," 2007_3º","38213"
"152","Andalucía"," 2007_4º","39807"
"153","Andalucía"," 2008_1º","32771"
"154","Andalucía"," 2008_2º","31889"
"155","Andalucía"," 2008_3º","25429"
"156","Andalucía"," 2008_4º","25394"
"157","Almería"," 2009_1º","2112"
"158","Almería"," 2009_2º","2768"
