"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"Tabla 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Número total de transacciones inmobiliarias de viviendas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Años: 2014, 2015, 2016 y 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Continúa)"
NA,"Año 2014",NA,NA,NA,"Año 2015",NA,NA,NA,"Año 2016",NA,NA,NA,"Año 2017",NA,NA,NA,"Año 2018",NA,NA,NA
NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA
NA,"1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º"
"TOTAL NACIONAL","81516","91769","80388","111948","85605","107043","94035","115030","103592","123438","104143","126565","124756","143761","119162","144582","135438","161374","131800","154276"
"Andalucía","15722","18266","15698","20333","16613","20873","18037","21220","19231","22847","18914","22516","22241","26292","21660","26247","25351","31273","25347","28454"
"Almería","1723","1879","1552","1883","1623","2005","1846","2123","1809","2282","2081","2224","2089","2859","2195","2609","2596","3277","2876","2930"
"Cádiz","1950","2109","1818","2404","1948","3036","2253","2803","2734","2838","2480","2802","2791","3169","2774","3460","3153","3992","3431","3828"
"Córdoba","930","1079","927","1311","1039","1225","1116","1386","1316","1372","1081","1478","1420","1727","1319","1736","1659","2065","1535","1807"
"Granada","1501","1976","1558","2055","1635","2065","1859","2337","1929","2247","1895","2469","2319","2872","2388","2879","2699","3201","2653","2938"
"Huelva","901","1024","915","996","925","1175","987","1131","992","1229","1024","1240","1150","1366","1233","1332","1286","2008","1447","1767"
"Jaén","688","786","727","1027","808","933","820","1070","975","1098","946","1193","1223","1250","1085","1295","1266","1445","1268","1311"
"Málaga","4986","6349","5596","6946","5559","7149","6273","6817","6153","7745","6389","7309","7378","8761","7093","8555","8188","9969","7523","8761"
"Sevilla","3043","3064","2605","3711","3076","3285","2883","3553","3323","4036","3018","3801","3871","4288","3573","4381","4504","5316","4614","5112"
"Aragón","2088","2433","2218","3181","2231","2809","2611","3666","2159","3200","2936","3393","3150","3630","3204","4004","3593","4298","3367","4241"
"Huesca","373","491","432","654","430","482","493","801","421","611","571","773","649","729","562","901","735","808","691","921"
"Teruel","214","248","247","316","250","250","248","411","222","245","265","301","234","279","300","380","311","365","306","433"
"Zaragoza","1501","1694","1539","2211","1551","2077","1870","2454","1516","2344","2100","2319","2267","2622","2342","2723","2547","3125","2370","2887"
"Asturias (Principado de)","1220","1432","1438","1825","1334","1665","1606","1911","1718","1941","1894","2049","2134","2338","2126","2618","2316","2799","2431","2640"
"Balears (Illes)","2304","2548","2645","3475","2650","3306","3024","3972","3470","4336","3542","4534","4479","5012","4093","4806","4168","5097","3705","4496"
"Canarias","4486","4495","3778","5156","4433","5021","4854","5538","5535","6018","4935","5795","6320","7148","5936","6464","6484","7093","5709","5983"
"Palmas (Las)","2178","2206","2017","2790","2378","2741","2668","2958","3133","3135","2666","3044","3179","3700","3242","3386","3370","3709","2902","3159"
"Santa Cruz de Tenerife","2308","2289","1761","2366","2055","2280","2186","2580","2402","2883","2269","2751","3141","3448","2694","3078","3114","3384","2807","2824"
"Cantabria","854","954","943","1249","917","1216","1229","1298","1050","1419","1237","1544","1306","1688","1533","2111","1397","1920","1782","1973"
"Castilla y León","3726","4181","3995","5503","3867","4918","4347","5174","4565","5329","4759","5856","5485","5793","5235","6377","5946","6911","6217","6883"
"Ávila","321","330","294","460","265","343","324","403","343","370","361","409","362","462","458","500","453","546","533","603"
"Burgos","614","822","716","930","678","888","769","1022","794","898","717","1042","951","947","908","1082","957","1261","1064","1118"
"León","648","665","628","797","670","794","720","799","696","852","878","901","868","878","805","958","879","1041","1048","999"
"Palencia","277","241","287","395","270","301","307","340","320","388","280","397","353","410","324","377","342","424","330","440"
"Salamanca","483","616","577","797","536","581","555","695","673","738","668","792","754","828","742","913","767","857","818","1011"
"Segovia","232","246","280","400","248","509","321","411","345","410","343","397","435","433","351","463","547","488","472","568"
"Soria","123","182","188","246","161","195","214","208","161","237","189","245","186","205","198","260","216","223","252","300"
"Valladolid","777","820","733","1122","786","1028","834","978","967","1123","997","1313","1258","1311","1078","1429","1415","1702","1332","1464"
"Zamora","251","259","292","356","253","279","303","318","266","313","326","360","318","319","371","395","370","369","368","380"
"Castilla-La Mancha","3494","3641","3192","4086","3215","3698","3313","4062","3652","4321","3542","4750","4865","5254","4448","6075","5252","6278","5353","6743"
"Albacete","488","665","461","642","526","590","528","661","587","692","541","653","818","766","711","932","796","897","782","944"
"Ciudad Real","764","798","691","883","654","749","640","796","748","801","630","887","816","903","857","1139","999","1020","947","1156"
"Cuenca","286","315","262","371","271","322","283","343","312","368","296","398","422","470","477","475","419","503","427","557"
"Guadalajara","828","662","561","756","555","727","590","725","637","765","594","954","735","915","745","1007","824","1171","909","1196"
"Toledo","1128","1201","1217","1434","1209","1310","1272","1537","1368","1695","1481","1858","2074","2200","1658","2522","2214","2687","2288","2890"
"Cataluña","11837","14059","11898","17154","12917","16387","14334","17470","16300","20440","17289","21123","20407","24130","19223","21807","20668","24821","20151","24045"
"Barcelona","7970","9247","7790","11389","9003","11046","9614","11679","11468","14158","11873","14316","14345","16832","13109","14760","14129","16912","13492","16300"
"Girona","1723","2135","1769","2427","1634","2161","2015","2572","2058","2651","2259","2827","2682","3141","2586","2904","2681","3168","2691","3103"
"Lleida","566","601","647","995","639","755","691","900","843","1030","792","970","922","1030","912","1098","1116","1232","1057","1224"
"Tarragona","1578","2076","1692","2343","1641","2425","2014","2319","1931","2601","2365","3010","2458","3127","2616","3045","2742","3509","2911","3418"
"Comunitat Valenciana","11792","14003","11972","16222","12504","16695","13928","16478","15214","18198","15843","18565","17702","21427","17599","22404","21276","24425","20216","22875"
"Alicante/Alacant","6465","7782","6616","8490","6705","8789","7497","8686","8019","9688","8466","9381","9238","10663","8980","11241","10833","12221","9929","11238"
"Castellón/Castelló","1280","1319","1301","1824","1290","1850","1418","1666","1543","1711","1634","1943","1597","2072","1957","2570","2145","2566","2263","2651"
"Valencia/València","4047","4902","4055","5908","4509","6056","5013","6126","5652","6799","5743","7241","6867","8692","6662","8593","8298","9638","8024","8986"
"Extremadura","1488","1441","1342","2011","1429","1548","1503","1843","1646","1952","1661","1938","2051","2034","1845","2160","2076","2414","2198","2592"
"Badajoz","870","893","827","1298","952","974","933","1185","1092","1220","1062","1214","1316","1244","1158","1333","1284","1472","1311","1628"
"Cáceres","618","548","515","713","477","574","570","658","554","732","599","724","735","790","687","827","792","942","887","964"
"Galicia","2976","3315","3372","4374","3138","3847","3649","3999","3436","4091","3803","4274","4016","4642","4236","4661","4384","5329","4821","5252"
"Coruña (A)","1218","1466","1463","1875","1348","1772","1489","1772","1534","1736","1645","1791","1780","2040","1762","2104","1873","2357","2053","2406"
