"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"Lugo","589","543","624","687","575","641","618","583","507","625","596","679","530","582","619","638","684","692","690","691"
"Ourense","295","284","331","479","297","360","370","387","342","431","402","400","363","464","447","468","443","498","495","478"
"Pontevedra","874","1022","954","1333","918","1074","1172","1257","1053","1299","1160","1404","1343","1556","1408","1451","1384","1782","1583","1677"
"Madrid (Comunidad de)","12144","12865","10710","16978","12479","15214","12577","17161","15703","18010","14967","18686","19351","21614","17957","21691","19824","24284","18111","23075"
"Murcia (Región de)","2527","2764","2490","3228","2411","3409","3579","3389","3262","3804","2947","3625","3432","4208","3393","4414","4157","4988","4162","4906"
"Navarra (C. Foral de)","976","1133","968","1350","1001","1121","886","1525","1119","1267","1103","1457","1455","1593","1268","1724","1574","2014","1806","1762"
"País Vasco","3039","3437","2954","4582","3589","4204","3590","5185","4389","5131","3874","5336","5250","5617","4308","5734","5607","6018","4905","6636"
"Araba/Alava","470","380","326","580","361","492","468","579","523","651","502","730","764","761","652","805","964","854","692","930"
"Gipuzkoa","1008","1245","1031","1641","1094","1218","1359","1819","1508","1604","1368","1660","1816","1851","1447","1857","1792","1875","1550","2167"
"Bizkaia","1561","1812","1597","2361","2134","2494","1763","2787","2358","2876","2004","2946","2670","3005","2209","3072","2851","3289","2663","3539"
"Rioja (La)","612","616","569","956","654","858","763","849","877","828","692","858","826","1044","861","1017","1087","1124","1070","1378"
"Ceuta y Melilla","231","186","206","285","223","254","205","290","266","306","205","266","286","297","237","268","278","288","449","342"
"Ceuta","114","96","107","140","121","132","104","148","143","167","91","137","147","136","115","127","125","119","304","209"
"Melilla","117","90","99","145","102","122","101","142","123","139","114","129","139","161","122","141","153","169","145","133"
"** Datos provisionales.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
