"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22"
"Tabla 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Número total de transacciones inmobiliarias de viviendas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Años: 2019, 2020, 2021, 2022 y 2023 (*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(*) Para acceder a la información de años anteriores consulte las pestañas que se encuentran en la parte inferior de este excel.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Año 2019",NA,NA,NA,"Año 2020",NA,NA,NA,"Año 2021",NA,NA,NA,"Año 2022",NA,NA,NA,"Año 2023",NA,NA,NA,NA
NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,NA
NA,"1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2 (**)",NA,NA,NA
"Barcelona","14649","15411","13378","16116","11988","9091","11790","15963","15008","18006","15672","18544","17185","20134","16616","16839","15103","16243",NA,NA,NA
"Girona","2953","3191","2761","3348","2402","1511","2877","3494","2872","3659","3758","4261","3790","4453","3937","3988","3409","3868",NA,NA,NA
"Lleida","990","1319","998","1386","914","655","1111","1799","1340","1468","1455","1735","1493","1673","1471","1517","1367","1472",NA,NA,NA
"Tarragona","2897","3555","2768","3517","2414","1709","3095","3824","3446","4332","4080","4514","3938","4945","4267","4044","3735","4327",NA,NA,NA
"Comunitat Valenciana","20565","22870","18241","23061","17486","10123","19332","22766","19813","26005","24367","28829","26136","31575","27202","28294","26137","28582",NA,NA,NA
"Alicante/Alacant","10242","11496","9190","11490","8652","4561","9348","10244","8457","11477","11876","14250","13351","16243","14068","14254","13245","14738",NA,NA,NA
"Castellón/Castelló","2270","2364","2069","2554","2000","1056","2166","2866","2485","3352","3084","3377","2684","3293","2953","3072","2720","3243",NA,NA,NA
"Valencia/València","8053","9010","6982","9017","6834","4506","7818","9656","8871","11176","9407","11202","10101","12039","10181","10968","10172","10601",NA,NA,NA
"Extremadura","2287","2665","1960","2774","1992","1478","2656","3039","2820","3069","2871","3426","3176","3308","3098","3136","2915","2883",NA,NA,NA
"Badajoz","1415","1576","1106","1698","1282","940","1639","1967","1776","1907","1746","2159","1750","2049","1763","1865","1706","1692",NA,NA,NA
"Cáceres","872","1089","854","1076","710","538","1017","1072","1044","1162","1125","1267","1426","1259","1335","1271","1209","1191",NA,NA,NA
"Galicia","4760","5366","4655","5681","4405","2802","5800","6449","5192","6478","6504","7034","6058","6920","6588","6453","5732","6056",NA,NA,NA
