"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"Tabla 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Número total de transacciones inmobiliarias de viviendas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Años: 2009, 2010, 2011, 2012 y 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Continúa)"
NA,"Año 2009",NA,NA,NA,"Año 2010",NA,NA,NA,"Año 2011",NA,NA,NA,"Año 2012",NA,NA,NA,"Año 2013",NA,NA,NA
NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA
NA,"1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º"
"TOTAL NACIONAL","104703","119938","107534","131544","107079","153164","80550","150494","74455","90756","76534","107373","69420","84289","75313","134601","54835","81472","70604","93657"
"Andalucía","21265","23501","20226","24440","19388","27367","15081","27217","15151","17585","14772","19758","14211","16308","14731","25853","11156","15889","14817","16910"
"Almería","2112","2768","2485","2603","1840","3002","1684","2759","1634","1854","1575","1888","1442","1736","1725","2879","1446","1815","1905","1716"
"Cádiz","2805","2968","2756","3256","2550","3614","2075","3542","1996","2187","1879","2675","1797","2106","1827","2885","1286","1795","1694","2016"
"Córdoba","1454","1703","1303","1887","1297","1947","995","2026","979","1192","1045","1374","834","1098","1125","1839","658","1008","859","1111"
"Granada","2845","2876","2575","2770","2128","3229","1647","3160","1821","2099","1685","2005","1435","1984","1655","2688","1135","1576","1509","1752"
"Huelva","1413","1333","1147","1576","1527","1827","1104","1867","1014","1366","1149","1338","1022","1058","1015","1612","635","1087","920","983"
"Jaén","1310","1414","1088","1283","1056","1398","898","1707","872","947","953","1148","869","908","705","1291","553","641","637","705"
"Málaga","5066","5464","5467","6227","4986","7085","3914","6583","3777","4552","3929","5284","4055","4486","4033","6766","3096","5263","4774","5482"
"Sevilla","4260","4975","3405","4838","4004","5265","2764","5573","3058","3388","2557","4046","2757","2932","2646","5893","2347","2704","2519","3145"
"Aragón","3037","4102","3568","3951","3385","5042","2172","4474","1834","2378","2135","2913","2027","2231","2112","4678","1447","2127","1740","2287"
"Huesca","743","767","652","776","663","865","375","787","405","494","431","524","438","397","501","871","274","526","418","455"
"Teruel","410","296","469","381","353","658","264","449","258","241","293","444","204","214","248","549","157","214","201","313"
"Zaragoza","1884","3039","2447","2794","2369","3519","1533","3238","1171","1643","1411","1945","1385","1620","1363","3258","1016","1387","1121","1519"
"Asturias (Principado de)","2469","2696","2713","3297","2562","3856","1649","3759","1674","2025","1522","2487","1423","1632","1436","2822","816","1249","1091","1404"
"Balears (Illes)","1938","2368","2231","2947","2223","3267","1954","3498","1838","2303","1922","2772","1715","2081","2140","3523","1375","2113","1991","2768"
"Canarias","4298","4750","4091","5042","4255","4795","4216","6287","3476","3855","3074","3877","3719","3948","3006","4614","3176","4397","3196","4711"
"Palmas (Las)","2353","2562","2088","2577","2039","2442","2271","3252","1753","1891","1631","1952","1952","2032","1606","2452","1573","2284","1651","2566"
"Santa Cruz de Tenerife","1945","2188","2003","2465","2216","2353","1945","3035","1723","1964","1443","1925","1767","1916","1400","2162","1603","2113","1545","2145"
"Cantabria","1921","2413","2201","2317","1842","2995","1185","2373","1164","1596","1231","1603","763","1048","1198","1708","483","821","754","1075"
"Castilla y León","5869","6870","6505","7733","6978","9105","4715","9609","3887","4780","4643","6075","3676","4225","4207","7563","2246","3557","3422","4504"
"Ávila","494","626","621","596","604","763","307","673","331","398","311","444","297","325","317","591","181","276","303","349"
"Burgos","1074","1230","996","1139","1041","1302","732","1560","494","797","876","908","558","698","745","1143","348","525","593","639"
"León","972","1119","1107","1357","1202","1743","887","1745","694","868","861","1128","608","657","734","1436","404","561","570","782"
"Palencia","344","426","534","518","479","596","303","737","274","306","287","375","198","231","263","525","153","290","227","327"
"Salamanca","682","772","859","1136","960","1223","664","1264","545","620","706","892","542","523","672","1023","309","453","447","571"
"Segovia","485","350","385","518","347","637","372","565","289","250","231","364","244","320","292","474","156","255","212","355"
"Soria","280","378","219","511","365","300","196","471","137","204","208","292","132","171","237","465","80","182","220","221"
"Valladolid","1105","1333","1279","1449","1580","2013","886","1946","803","1009","855","1202","785","1002","673","1401","429","716","622","923"
"Zamora","433","636","505","509","400","528","368","648","320","328","308","470","312","298","274","505","186","299","228","337"
"Castilla-La Mancha","5892","5973","5516","6429","5199","7778","3957","7446","3390","4464","3253","5922","3391","4613","3626","6452","2514","3384","2832","3722"
"Albacete","785","959","861","1134","1002","1523","617","1164","527","533","440","833","339","539","538","914","303","457","380","564"
"Ciudad Real","1449","1282","1356","1507","1280","1905","1020","1742","690","943","781","1179","730","781","720","1277","565","789","684","848"
"Cuenca","557","632","606","591","415","546","357","572","245","307","231","594","369","357","305","771","232","267","292","262"
"Guadalajara","938","1221","864","1013","679","992","679","1604","639","733","575","1044","539","626","517","832","426","547","430","632"
"Toledo","2163","1879","1829","2184","1823","2812","1284","2364","1289","1948","1226","2272","1414","2310","1546","2658","988","1324","1046","1416"
"Cataluña","12196","13961","12438","16997","13601","20065","9682","20983","8923","11705","10289","13988","9745","11675","10579","17323","8128","12580","10964","12868"
"Barcelona","7657","8767","7670","10714","8883","13276","6383","14333","5462","7401","6388","8590","6280","7437","6251","10861","4948","7675","6916","8052"
"Girona","1728","1982","1771","2581","2002","2675","1254","2526","1373","1807","1747","2034","1529","1613","1848","2648","1286","2075","1821","2054"
"Lleida","970","1041","883","1158","731","1234","659","1279","616","583","675","982","553","759","694","1162","503","691","557","656"
"Tarragona","1841","2171","2114","2544","1985","2880","1386","2845","1472","1914","1479","2382","1383","1866","1786","2652","1391","2139","1670","2106"
"Comunitat Valenciana","13227","16001","14686","16619","13705","20613","11528","18959","10547","12561","11140","13430","10055","13374","12091","17860","8911","13780","11774","13529"
"Alicante/Alacant","5806","7520","6787","7619","6379","9183","5428","8474","5477","6427","5303","6436","4997","7176","5791","9217","5311","7726","6422","7285"
"Castellón/Castelló","2131","2299","2215","2081","1415","2610","1508","2154","1367","1556","1577","1854","1434","1376","1951","2214","864","1438","1487","1512"
"Valencia/València","5290","6182","5684","6919","5911","8820","4592","8331","3703","4578","4260","5140","3624","4822","4349","6429","2736","4616","3865","4732"
"Extremadura","3082","3291","2865","3377","2625","3427","2323","3359","1879","2255","1807","1991","1565","2071","1558","2903","1088","1282","1242","1542"
"Badajoz","2062","2181","1654","2027","1625","2133","1408","2055","1274","1293","1129","1163","984","1277","970","1496","648","767","706","876"
"Cáceres","1020","1110","1211","1350","1000","1294","915","1304","605","962","678","828","581","794","588","1407","440","515","536","666"
"Galicia","5421","5989","6152","6321","5415","8131","4404","8030","3481","3577","3660","5391","2810","3467","3459","6634","2183","3098","2790","3806"
"Coruña (A)","2309","2764","2793","2986","2443","3789","1965","3612","1495","1475","1616","2396","1330","1565","1522","2926","942","1384","1131","1617"
