"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"Lugo","764","860","879","922","876","1231","642","1089","677","522","488","749","442","455","524","1050","411","473","589","779"
"Ourense","628","609","607","579","538","945","516","871","359","449","430","577","313","377","370","665","187","302","317","332"
"Pontevedra","1720","1756","1873","1834","1558","2166","1281","2458","950","1131","1126","1669","725","1070","1043","1993","643","939","753","1078"
"Madrid (Comunidad de)","11789","14235","12968","18521","12824","19717","9729","20529","9378","12397","8778","14758","8289","9779","8523","18668","6589","10087","7784","15720"
"Murcia (Región de)","5201","6029","4338","4935","3919","5584","2530","5047","2588","2875","2241","3234","2052","2676","2283","4305","2065","2858","2274","2665"
"Navarra (C. Foral de)","1754","1760","1328","1880","1868","1975","779","1265","902","1110","1302","2024","757","946","647","2101","474","781","778","1350"
"País Vasco","3842","4247","4319","5316","6052","7691","3689","5892","3619","4302","4092","6096","2584","3327","2870","6214","1731","2650","2473","3882"
"Araba/Alava","798","780","741","1348","1542","1872","543","1257","505","744","706","1396","523","587","743","1565","339","376","302","628"
"Gipuzkoa","1263","1220","1370","1580","1490","1953","1101","1791","1000","1126","1570","2139","766","1350","792","1850","550","859","818","1410"
"Bizkaia","1781","2247","2208","2388","3020","3866","2045","2844","2114","2432","1816","2561","1295","1390","1335","2799","842","1415","1353","1844"
"Rioja (La)","1210","1483","1149","1063","881","1470","670","1357","547","696","499","881","451","688","702","1152","321","650","576","706"
"Ceuta y Melilla","292","269","240","359","357","286","287","410","177","292","174","173","187","200","145","228","132","169","106","208"
"Ceuta","151","123","99","161","220","129","105","254","96","99","69","71","82","78","58","97","55","77","39","107"
"Melilla","141","146","141","198","137","157","182","156","81","193","105","102","105","122","87","131","77","92","67","101"
"* Datos provisionales.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
